039	BANCO ITAÚ CHILE
433250462	 0000449766489,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	 0000016389789,00	
433300000	-0000012276432,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	-0000012276432,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	 0006881540653,00	
433500101	 0406322237338,00	
433500102	-0375941380830,00	
433500103	 0288998869995,00	
433500104	-0312498185850,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0001082049007,00	
435300100	 0001082049007,00	
435300200	 0000000000000,00	
435400000	-0004157366333,00	
435400100	-0004157366333,00	
435400101	 0003403515300,00	
435400102	-0007560881633,00	
435400103	 0000000000000,00	
440000000	 0003661624358,00	
442000100	 0003661624358,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0001604245850,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000646467294,00	
442000109	 0001410911214,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0000558652650,00	
451000000	-0000613854254,00	
451000100	 0002810347552,00	
451000101	 0000000000000,00	
451000102	 0002810347552,00	
451000200	 0001436654634,00	
451000300	-0002440428825,00	
451000400	-0001625842733,00	
451000500	-0000794584882,00	
452000100	 0001172506904,00	
452000101	 0000000000000,00	
452000102	 0000000000000,00	
452000103	-0000037055581,00	
452000104	 0001209424965,00	
452000109	 0000000137520,00	
452000200	 0000000000000,00	
455000000	 0016480874811,00	
455000100	 0000000762829,00	
455000200	 0000000000000,00	
455000300	 0000070832937,00	
455000400	 0000000000000,00	
455000500	 0000000000000,00	
455000600	 0002462481990,00	
455000900	 0013946797055,00	
462000000	-0273197167673,00	
462100100	-0234837563965,00	
462100101	-0162860208658,00	
462100102	-0046034609017,00	
462100103	-0025730396039,00	
462100190	-0000212350251,00	
462200100	 0000000000000,00	
462300100	-0001082989585,00	
462300101	-0001082951394,00	
462300102	 0000000000000,00	
462300190	-0000000038191,00	
462400100	-0014314121149,00	
462400101	-0014314121149,00	
462400190	 0000000000000,00	
462500100	-0002403425663,00	
462500101	 0000000000000,00	
462500102	-0002403425663,00	
462600100	 0000000000000,00	
462700100	-0001688565253,00	
462800100	 0000000000000,00	
462900100	-0018870502058,00	
462900101	-0001421490777,00	
462900102	-0000520982994,00	
462900190	-0016928028287,00	
464000000	-0241858721288,00	
464100100	-0162267347024,00	
464100101	-0001461324846,00	
464100102	 0000000000000,00	
464100103	-0000195104756,00	
464100104	-0024960593373,00	
464100105	-0013247924192,00	
464100106	-0001533840550,00	
464100107	-0041576442812,00	
464100108	-0002120098394,00	
464100109	-0004377223141,00	
464100110	-0001843125341,00	
464100111	-0018580377901,00	
464100112	-0001184523550,00	
464100113	 0000000000000,00	
464100114	-0000057292645,00	
464100115	 0000000000000,00	
464100116	-0013912709265,00	
464100117	-0000065336598,00	
464100118	-0000089832132,00	
464100190	-0037061597528,00	
464200100	-0029094396289,00	
464200101	-0010772672189,00	
464200102	-0000008651213,00	
464200103	 0000000000000,00	
464200104	-0000060683069,00	
464200105	-0000337485624,00	
464200106	-0002408280781,00	
464200107	 0000000000000,00	
464200108	-0000422417062,00	
464200109	-0000164457447,00	
464200110	 0000000000000,00	
464200190	-0014919748904,00	
464300100	-0000823563661,00	
464300101	-0000823563661,00	
464300102	 0000000000000,00	
464400100	-0013563999429,00	
464500100	-0036109414885,00	
464500101	-0000250433342,00	
464500102	-0001262364140,00	
464500103	-0025495501054,00	
464500104	-0009101116349,00	
464500190	 0000000000000,00	
466000000	-0087004740454,00	
466100000	-0052803421484,00	
466100100	-0018079400360,00	
466100101	-0002197578970,00	
466100102	 0000000000000,00	
466100103	-0011628738060,00	
