055	BANCO CONSORCIO
433301000	-0000002020318,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	 0011134574708,00	
433500101	 0000000000000,00	
433500102	 0000000000000,00	
433500103	 0011718340043,00	
433500104	-0000583765335,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0001348634148,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0001348634148,00	
435200201	 0001348634148,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0000000000000,00	
435300100	 0000000000000,00	
435300200	 0000000000000,00	
435400000	 0000000000000,00	
435400100	 0000000000000,00	
435400101	 0000000000000,00	
435400102	 0000000000000,00	
435400103	 0000000000000,00	
440000000	 0000000000000,00	
442000100	 0000000000000,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0000000000000,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000000000000,00	
442000109	 0000000000000,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0000015074258,00	
451000000	-0000000303868,00	
451000100	 0000000000000,00	
451000101	 0000000000000,00	
451000102	 0000000000000,00	
451000200	 0000000000000,00	
451000300	 0000000000000,00	
451000400	-0000000000932,00	
451000500	-0000000302936,00	
452000100	 0000015378126,00	
452000101	 0000000000000,00	
452000102	 0000000000000,00	
452000103	 0000011483133,00	
452000104	 0000003894993,00	
452000109	 0000000000000,00	
452000200	 0000000000000,00	
455000000	 0001363151810,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0000000000000,00	
455000400	 0000890810944,00	
455000500	 0000009156366,00	
455000600	 0000111331117,00	
455000900	 0000351853383,00	
462000000	-0013440999245,00	
462100100	-0011208446336,00	
462100101	-0011041536250,00	
462100102	-0000320000000,00	
462100103	 0000000000000,00	
462100190	 0000153089914,00	
462200100	 0000000000000,00	
462300100	 0000000000000,00	
462300101	 0000000000000,00	
462300102	 0000000000000,00	
462300190	 0000000000000,00	
462400100	-0000445981169,00	
462400101	-0000445981169,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	 0000000000000,00	
462800100	-0000511831758,00	
462900100	-0001274739982,00	
462900101	-0000086977654,00	
462900102	 0000000000000,00	
462900190	-0001187762328,00	
464000000	-0011839971691,00	
464100100	-0003867401260,00	
464100101	 0000000000000,00	
464100102	-0000003379527,00	
464100103	 0000000000000,00	
464100104	-0000164686493,00	
464100105	-0000159799949,00	
464100106	-0000082718494,00	
464100107	-0001465649931,00	
464100108	-0000084289878,00	
464100109	-0000308909746,00	
464100110	-0000011910668,00	
464100111	-0000090399934,00	
464100112	-0000109902531,00	
464100113	-0000014761375,00	
464100114	 0000000000000,00	
464100115	 0000000000000,00	
464100116	-0000719412708,00	
464100117	 0000000000000,00	
464100118	-0000003885181,00	
464100190	-0000647694845,00	
464200100	-0005894746120,00	
464200101	-0001464273674,00	
464200102	-0002213620572,00	
464200103	 0000000000000,00	
464200104	-0000121820798,00	
464200105	-0000462803236,00	
464200106	 0000000000000,00	
464200107	 0000000000000,00	
464200108	-0000496432600,00	
464200109	 0000000000000,00	
464200110	 0000000000000,00	
464200190	-0001135795240,00	
464300100	-0000107119342,00	
464300101	-0000107119342,00	
464300102	 0000000000000,00	
464400100	-0000003640114,00	
464500100	-0001967064855,00	
464500101	-0000051527631,00	
464500102	-0000492347697,00	
464500103	-0000090470694,00	
464500104	-0001332718833,00	
464500190	 0000000000000,00	
466000000	-0001383228142,00	
466100000	-0000463078966,00	
466100100	 0000000000000,00	
466100101	 0000000000000,00	
466100102	 0000000000000,00	
466100103	 0000000000000,00	
466100104	 0000000000000,00	
